id,province,city_id,city,district,subdistrict
1,Jawa Barat,55,Kota Bekasi,Bantargebang,Bantargebang
2,Jawa Barat,55,Kota Bekasi,Bantargebang,Ciketing Udik
3,Jawa Barat,55,Kota Bekasi,Bantargebang,Cikiwul
4,Jawa Barat,55,Kota Bekasi,Bantargebang,Sumur Batu
5,Jawa Barat,55,Kota Bekasi,Bekasi Barat,Bintara
6,Jawa Barat,55,Kota Bekasi,Bekasi Barat,Bintara Jaya
7,Jawa Barat,55,Kota Bekasi,Bekasi Barat,Jakasampurna
8,Jawa Barat,55,Kota Bekasi,Bekasi Barat,Kota Baru
9,Jawa Barat,55,Kota Bekasi,Bekasi Barat,Kranji
10,Jawa Barat,55,Kota Bekasi,Bekasi Selatan,Jakamulya
11,Jawa Barat,55,Kota Bekasi,Bekasi Selatan,Jakasetia
12,Jawa Barat,55,Kota Bekasi,Bekasi Selatan,Kayuringin Jaya
13,Jawa Barat,55,Kota Bekasi,Bekasi Selatan,Marga Jaya
14,Jawa Barat,55,Kota Bekasi,Bekasi Selatan,Pekayon Jaya
15,Jawa Barat,55,Kota Bekasi,Bekasi Timur,Aren Jaya
16,Jawa Barat,55,Kota Bekasi,Bekasi Timur,Bekasi Jaya
17,Jawa Barat,55,Kota Bekasi,Bekasi Timur,Duren Jaya
18,Jawa Barat,55,Kota Bekasi,Bekasi Timur,Margahayu
19,Jawa Barat,55,Kota Bekasi,Bekasi Utara,Harapan Baru
20,Jawa Barat,55,Kota Bekasi,Bekasi Utara,Harapan Jaya
21,Jawa Barat,55,Kota Bekasi,Bekasi Utara,Kaliabang Tengah
22,Jawa Barat,55,Kota Bekasi,Bekasi Utara,Marga Mulya
23,Jawa Barat,55,Kota Bekasi,Bekasi Utara,Perwira
24,Jawa Barat,55,Kota Bekasi,Bekasi Utara,Teluk Pucung
25,Jawa Barat,55,Kota Bekasi,Jatiasih,Jatiasih
26,Jawa Barat,55,Kota Bekasi,Jatiasih,Jatikramat
27,Jawa Barat,55,Kota Bekasi,Jatiasih,Jatiluhur
28,Jawa Barat,55,Kota Bekasi,Jatiasih,Jatimekar
29,Jawa Barat,55,Kota Bekasi,Jatiasih,Jatirasa
30,Jawa Barat,55,Kota Bekasi,Jatiasih,Jatisari
31,Jawa Barat,55,Kota Bekasi,Jatisampurna,Jatikarya
32,Jawa Barat,55,Kota Bekasi,Jatisampurna,Jatiraden
33,Jawa Barat,55,Kota Bekasi,Jatisampurna,Jatirangga
34,Jawa Barat,55,Kota Bekasi,Jatisampurna,Jatiranggon
35,Jawa Barat,55,Kota Bekasi,Jatisampurna,Jatisampurna
36,Jawa Barat,55,Kota Bekasi,Medansatria,Pejuang
37,Jawa Barat,55,Kota Bekasi,Medansatria,Medansatria
38,Jawa Barat,55,Kota Bekasi,Medansatria,Harapan Mulya
39,Jawa Barat,55,Kota Bekasi,Medansatria,Kali Baru
40,Jawa Barat,55,Kota Bekasi,Mustikajaya,Cimuning
41,Jawa Barat,55,Kota Bekasi,Mustikajaya,Mustikajaya
42,Jawa Barat,55,Kota Bekasi,Mustikajaya,Mustikasari
43,Jawa Barat,55,Kota Bekasi,Mustikajaya,Pedurenan
44,Jawa Barat,55,Kota Bekasi,Pondokgede,Jatibening
45,Jawa Barat,55,Kota Bekasi,Pondokgede,Jatibening Baru
46,Jawa Barat,55,Kota Bekasi,Pondokgede,Jaticempaka
47,Jawa Barat,55,Kota Bekasi,Pondokgede,Jatimakmur
48,Jawa Barat,55,Kota Bekasi,Pondokgede,Jatiwaringin
49,Jawa Barat,55,Kota Bekasi,Pondokmelati,Jatimelati
50,Jawa Barat,55,Kota Bekasi,Pondokmelati,Jatimurni
51,Jawa Barat,55,Kota Bekasi,Pondokmelati,Jatirahayu
52,Jawa Barat,55,Kota Bekasi,Pondokmelati,Jatiwarna
53,Jawa Barat,55,Kota Bekasi,Rawalumbu,Bojong Menteng
54,Jawa Barat,55,Kota Bekasi,Rawalumbu,Bojong Rawalumbu
55,Jawa Barat,55,Kota Bekasi,Rawalumbu,Pengasinan
56,Jawa Barat,55,Kota Bekasi,Rawalumbu,Sepanjang Jaya
57,Jawa Barat,54,Kabupaten Bekasi,Babelan,Babelan Kota
58,Jawa Barat,54,Kabupaten Bekasi,Babelan,Bunibakti
59,Jawa Barat,54,Kabupaten Bekasi,Babelan,Huripjaya
60,Jawa Barat,54,Kabupaten Bekasi,Babelan,Kedungjaya
61,Jawa Barat,54,Kabupaten Bekasi,Babelan,Kedungpengawas
62,Jawa Barat,54,Kabupaten Bekasi,Babelan,Muarabakti
63,Jawa Barat,54,Kabupaten Bekasi,Babelan,Pantai Hurip
64,Jawa Barat,54,Kabupaten Bekasi,Babelan,Bahagia
65,Jawa Barat,54,Kabupaten Bekasi,Babelan,Kebalen
66,Jawa Barat,54,Kabupaten Bekasi,Bojongmangu,Bojongmangu
67,Jawa Barat,54,Kabupaten Bekasi,Bojongmangu,Karangindah
68,Jawa Barat,54,Kabupaten Bekasi,Bojongmangu,Karangmulya
69,Jawa Barat,54,Kabupaten Bekasi,Bojongmangu,Medalkrisna
70,Jawa Barat,54,Kabupaten Bekasi,Bojongmangu,Sukabungah
71,Jawa Barat,54,Kabupaten Bekasi,Bojongmangu,Sukamukti
72,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Jayabakti
73,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Jayalaksana
74,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Lenggahjaya
75,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Lenggahsari
76,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Setiajaya
77,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Setialaksana
78,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Sindangjaya
79,Jawa Barat,54,Kabupaten Bekasi,Cabangbungin,Sindangsari
80,Jawa Barat,54,Kabupaten Bekasi,Cibarusah,Cibarusahjaya
81,Jawa Barat,54,Kabupaten Bekasi,Cibarusah,Cibarusahkota
82,Jawa Barat,54,Kabupaten Bekasi,Cibarusah,Ridogalih
83,Jawa Barat,54,Kabupaten Bekasi,Cibarusah,Ridomanah
84,Jawa Barat,54,Kabupaten Bekasi,Cibarusah,Sindangmulya
85,Jawa Barat,54,Kabupaten Bekasi,Cibarusah,Sirnajati
86,Jawa Barat,54,Kabupaten Bekasi,Cibarusah,Wibawamulya
87,Jawa Barat,54,Kabupaten Bekasi,Cibitung,Cibuntu
88,Jawa Barat,54,Kabupaten Bekasi,Cibitung,Kertamukti
89,Jawa Barat,54,Kabupaten Bekasi,Cibitung,Muktiwari
90,Jawa Barat,54,Kabupaten Bekasi,Cibitung,Sarimukti
91,Jawa Barat,54,Kabupaten Bekasi,Cibitung,Sukajaya
92,Jawa Barat,54,Kabupaten Bekasi,Cibitung,Wanajaya
93,Jawa Barat,54,Kabupaten Bekasi,Cibitung,Wanasari
94,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Cikedokan
95,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Danauindah
96,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Gandamekar
97,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Gandasari
98,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Jatiwangi
99,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Kalijaya
100,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Mekarwangi
101,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Sukadanau
102,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Telagamurni
103,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Telajung
104,Jawa Barat,54,Kabupaten Bekasi,Cikarang Barat,Telaga Asih
105,Jawa Barat,54,Kabupaten Bekasi,Cikarang Pusat,Cicau
106,Jawa Barat,54,Kabupaten Bekasi,Cikarang Pusat,Hegarmukti
107,Jawa Barat,54,Kabupaten Bekasi,Cikarang Pusat,Jayamukti
108,Jawa Barat,54,Kabupaten Bekasi,Cikarang Pusat,Pasirranji
109,Jawa Barat,54,Kabupaten Bekasi,Cikarang Pusat,Pasirtanjung
110,Jawa Barat,54,Kabupaten Bekasi,Cikarang Pusat,Sukamahi
111,Jawa Barat,54,Kabupaten Bekasi,Cikarang Selatan,Ciantra
112,Jawa Barat,54,Kabupaten Bekasi,Cikarang Selatan,Cibatu
113,Jawa Barat,54,Kabupaten Bekasi,Cikarang Selatan,Pasirsari
114,Jawa Barat,54,Kabupaten Bekasi,Cikarang Selatan,Sukadami
115,Jawa Barat,54,Kabupaten Bekasi,Cikarang Selatan,Sukaresmi
116,Jawa Barat,54,Kabupaten Bekasi,Cikarang Selatan,Sukasejati
117,Jawa Barat,54,Kabupaten Bekasi,Cikarang Selatan,Serang
118,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Cipayung
119,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Hegarmanah
120,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Jatibaru
121,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Jatireja
122,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Karangsari
123,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Labansari
124,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Tanjungbaru
125,Jawa Barat,54,Kabupaten Bekasi,Cikarang Timur,Sertajaya
126,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Cikarang Kota
127,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Harjamekar
128,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Karangasih
129,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Karangbaru
130,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Karangraharja
131,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Mekarmukti
132,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Pasirgombong
133,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Simpangan
134,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Tanjungsari
135,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Waluya
136,Jawa Barat,54,Kabupaten Bekasi,Cikarang Utara,Wangunharja
137,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Karanganyar
138,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Karangbahagia
139,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Karangmukti
140,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Karangrahayu
141,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Karangsatu
142,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Karangsentosa
143,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Karangsetia
144,Jawa Barat,54,Kabupaten Bekasi,Karangbahagia,Sukaraya
145,Jawa Barat,54,Kabupaten Bekasi,Kedungwaringin,Bojongsari
146,Jawa Barat,54,Kabupaten Bekasi,Kedungwaringin,Karangharum
147,Jawa Barat,54,Kabupaten Bekasi,Kedungwaringin,Karangmekar
148,Jawa Barat,54,Kabupaten Bekasi,Kedungwaringin,Karangsambung
149,Jawa Barat,54,Kabupaten Bekasi,Kedungwaringin,Kedungwaringin
150,Jawa Barat,54,Kabupaten Bekasi,Kedungwaringin,Mekarjaya
151,Jawa Barat,54,Kabupaten Bekasi,Kedungwaringin,Waringinjaya
152,Jawa Barat,54,Kabupaten Bekasi,Muara Gembong,Jayasakti
153,Jawa Barat,54,Kabupaten Bekasi,Muara Gembong,Pantai Bahagia
154,Jawa Barat,54,Kabupaten Bekasi,Muara Gembong,Pantai Bakti
155,Jawa Barat,54,Kabupaten Bekasi,Muara Gembong,Pantai Harapanjaya
156,Jawa Barat,54,Kabupaten Bekasi,Muara Gembong,Pantai Mekar
157,Jawa Barat,54,Kabupaten Bekasi,Muara Gembong,Pantai Sederhana
158,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Bantarjaya
159,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Bantarsari
160,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Karangharja
161,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Karanghaur
162,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Karangjaya
163,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Karangreja
164,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Karangpatri
165,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Karangsegar
166,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Kertajaya
167,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Sumbereja
168,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Sumbersari
169,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Sumberurip
170,Jawa Barat,54,Kabupaten Bekasi,Pebayuran,Kertasari
171,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Cilangkara
172,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Jayamulya
173,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Jayasampurna
174,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Nagacipta
175,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Nagasari
176,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Sirnajaya
177,Jawa Barat,54,Kabupaten Bekasi,Serang Baru,Sukaragam
